"workerid","language","response","rt","condition","modal"
"worker 121","English","Agree",1264,"even","certain not"
"worker 122","English","Agree",14070,"even","certainly not"
"worker 123","english","Agree",20209,"even","certainly not"
"worker 124","English","Agree",16995,"even","certainly not"
"worker 125","English","Disagree",28123,"even","certainly not"
"worker 126","English","Agree",16230,"even","possible"
"worker 127","English","Agree",3080,"even","possible"
"worker 128","english","Disagree",28965,"even","must not"
"worker 129","English","Agree",25052,"even","must not"
"worker 130","English","Agree",28487,"even","might"
"worker 131","English","Disagree",15799,"even","must not"
"worker 132","English","Agree",12730,"even","might"
"worker 133","english","Disagree",30463,"even","certain not"
"worker 134","English","Agree",25841,"even","possible"
"worker 135","english","Disagree",24131,"even","certain not"
"worker 136","English","Agree",31864,"even","might"
"worker 137","english","Agree",21391,"even","might"
"worker 138","English","Disagree",17808,"even","certain not"
"worker 139","English","Disagree",36095,"even","certain not"
"worker 140","English","Agree",20159,"even","certainly not"
"worker 141","English","Agree",19064,"even","possible"
"worker 142","english","Agree",29476,"even","might"
"worker 143","English","Agree",12877,"even","must not"
"worker 144","english","Disagree",17133,"even","must not"
"worker 145","ENGLISH","Disagree",54616,"even","certain not"
"worker 146","English","Agree",29850,"even","possible"
"worker 147","English","Agree",27889,"even","certain not"
"worker 148","English","Agree",50830,"even","possible"
"worker 149","English","Agree",13574,"even","might"
"worker 150","English","Disagree",22287,"even","certain not"
"worker 151","English","Disagree",37138,"even","certain not"
"worker 152","english","Disagree",19098,"even","must not"
"worker 153","English","Agree",14952,"even","might"
"worker 154","English","Agree",15389,"even","might"
"worker 155","English","Agree",10907,"even","might"
"worker 156","English","Agree",10898,"even","possible"
"worker 157","English","Disagree",11667,"even","certain not"
"worker 158","English","Disagree",21677,"even","might"
"worker 159","English","Disagree",32979,"even","certain not"
"worker 160","english","Agree",52329,"even","might"
"worker 161","English","Disagree",30131,"even","must not"
"worker 162","English","Disagree",24621,"even","must not"
"worker 163","english","Agree",18132,"even","might"
"worker 164","English","Agree",26975,"even","might"
"worker 165","English","Agree",26183,"even","possible"
"worker 166","English","Agree",24118,"even","possible"
"worker 167","English","Agree",11507,"even","might"
"worker 168","English","Agree",53266,"even","certain not"
"worker 169","English","Agree",22028,"even","must not"
"worker 170","ENGLISH","Agree",16455,"even","might"
"worker 171","English","Agree",29027,"even","possible"
"worker 172","English","Agree",24100,"even","certain not"
"worker 173","English","Agree",26122,"even","possible"
"worker 174","He has the same chance as anyone else to win there for it is not certain that he did not win. ","Disagree",21536,"even","certain not"
"worker 175","english","Agree",14071,"even","must not"
"worker 176","English","Agree",38071,"even","must not"
"worker 177","english","Agree",11264,"even","might"
"worker 178","English","Disagree",15594,"even","certain not"
"worker 179","English","Agree",28196,"even","possible"
"worker 180","english","Agree",18523,"even","certainly not"
"worker 181","English","Agree",47510,"even","must not"
"worker 182","english","Agree",21993,"even","might"
"worker 183","English","Disagree",23963,"even","certain not"
"worker 184","English","Agree",35722,"even","might"
"worker 185","English","Disagree",33871,"even","must not"
"worker 186","english","Agree",12746,"even","might"
"worker 187","english","Agree",2982,"even","possible"
"worker 188","English","Agree",39813,"even","certainly not"
"worker 189","English","Agree",10194,"even","certainly not"
"worker 190","English","Agree",12233,"even","possible"
"worker 191","English","Agree",17286,"even","might"
"worker 192","English","Agree",35386,"even","must not"
"worker 193","English","Agree",14439,"even","possible"
"worker 194","English","Agree",11336,"even","certain not"
"worker 195","English","Disagree",41949,"even","certain not"
"worker 196","english","Agree",29702,"even","certain not"
"worker 197","English","Agree",15827,"even","must not"
"worker 198","English","Agree",8586,"even","certainly not"
"worker 199","English ","Agree",13905,"even","might"
"worker 200","English","Agree",36889,"even","might"
"worker 201","english","Agree",45048,"even","did not"
"worker 202","english","Disagree",10466,"even","possibly"
"worker 203","english","Disagree",20181,"even","did"
"worker 204","English","Disagree",37781,"even","did"
"worker 205","English","Agree",19989,"even","did not"
"worker 206","English","Agree",11143,"even","possibly"
"worker 207","english","Disagree",20169,"even","did"
"worker 208","English","Disagree",15382,"even","did"
"worker 209","English","Agree",19469,"even","did not"
"worker 210","English","Agree",25622,"even","possibly"
"worker 211","English","Disagree",13730,"even","possibly"
"worker 212","english","Agree",16472,"even","did not"
"worker 213","english","Disagree",37266,"even","did"
"worker 214","english","Disagree",14578,"even","did"
"worker 215","English","Agree",15469,"even","did not"
"worker 216","English","Disagree",16726,"even","did"
"worker 217","English","Agree",16850,"even","possibly"
"worker 218","english","Disagree",7554,"even","did"
"worker 219","English","Disagree",18292,"even","did"
"worker 220","English","Agree",14867,"even","did not"
"worker 221","English","Disagree",34416,"even","did not"
"worker 222","English","Disagree",65928,"even","possibly"
"worker 223","English","Agree",25151,"even","possibly"
"worker 224","english","Agree",14569,"even","possibly"
"worker 225","English","Disagree",12733,"even","did"
"worker 226","English","Disagree",39461,"even","possibly"
"worker 227","English","Disagree",12554,"even","did"
"worker 228","English","Agree",15942,"even","possibly"
"worker 229","English","Agree",13630,"even","did not"
"worker 230","English","Disagree",51074,"even","did"
"worker 231","English","Disagree",18213,"even","possibly"
"worker 232","English","Disagree",22692,"even","possibly"
"worker 233","English","Disagree",17108,"even","did not"
"worker 234","English","Disagree",16639,"even","did"
"worker 235","English","Disagree",23693,"even","did"
"worker 236","English","Agree",13523,"even","did not"
"worker 237","English","Disagree",22787,"even","did"
"worker 238","English","Agree",10471,"even","did not"
"worker 239","tagalog","Agree",43403,"even","did not"
"worker 240","English","Agree",41991,"even","possibly"
"worker 241","English ","Disagree",29118,"even","did not"
"worker 242","English","Disagree",20795,"even","did"
"worker 243","English","Disagree",18453,"even","did not"
"worker 244","english","Agree",30373,"even","did not"
"worker 245","English","Agree",28401,"even","possibly"
"worker 246","English","Disagree",31040,"even","did"
"worker 247","English","Disagree",27668,"even","possibly"
"worker 248","English","Agree",23708,"even","did not"
"worker 249","english","Disagree",44654,"even","did not"
"worker 250","English","Agree",34435,"even","did"
"worker 251","English","Agree",19029,"even","did not"
"worker 252","English","Agree",14240,"even","possibly"
"worker 253","English","Disagree",44590,"even","did"
"worker 254","English","Agree",38297,"even","did not"
"worker 255","English","Disagree",43305,"even","did"
"worker 256","english","Agree",22192,"even","possibly"
"worker 257","English","Agree",25641,"even","possibly"
"worker 258","english","Disagree",18856,"even","did"
"worker 259","English ","Agree",24924,"even","possibly"
"worker 260","English","Disagree",18243,"even","did"
"worker 261","English ","Disagree",21439,"even","did"
"worker 262","English","Agree",26555,"even","possibly"
"worker 263","English and Cantonese","Disagree",19366,"even","did"
"worker 264","English","Disagree",25875,"even","possibly"
"worker 265","English","Disagree",30147,"even","did"
"worker 266","English","Disagree",21103,"even","did"
"worker 267","English","Disagree",221050,"even","did"
"worker 268","English","Disagree",11138,"even","did not"
"worker 269","english","Agree",27115,"even","possibly"
"worker 270","English","Agree",17176,"even","possibly"
"worker 271","English","Agree",27585,"even","possibly"
"worker 272","English","Disagree",17312,"even","did"
"worker 273","English","Disagree",24591,"even","did"
"worker 274","English","Agree",17486,"even","possibly"
"worker 275","English","Disagree",14742,"even","did"
"worker 276","English","Disagree",14812,"even","did"
"worker 277","english","Agree",14938,"even","did not"
"worker 278","English","Disagree",18093,"even","did"
"worker 279","English","Agree",30414,"even","possibly"
"worker 280","English","Agree",20902,"even","did not"
"worker 281","English","Disagree",26209,"even","did"
"worker 282","english","Disagree",17842,"even","did"
"worker 283","English","Agree",15805,"even","did not"
"worker 284","english","Agree",17618,"even","did not"
"worker 285","English","Agree",19827,"even","possibly"
"worker 286","English","Agree",12997,"even","possibly"
"worker 287","Tamil","Agree",19323,"even","did not"
"worker 288","english","Agree",65518,"even","possibly"
"worker 289","English","Agree",13031,"even","possibly"
"worker 290","English","Disagree",31885,"even","did not"
"worker 291","English","Agree",11118,"even","did not"
"worker 292","English","Agree",15261,"even","possibly"
"worker 293","English","Agree",40446,"even","possibly"
"worker 294","English","Agree",49330,"even","possibly"
"worker 295","English","Agree",27285,"even","possibly"
"worker 296","English","Agree",16155,"even","might"
"worker 297","English","Agree",29725,"even","must not"
"worker 298","English","Agree",93697,"even","possibly"
"worker 299","English","Disagree",23933,"even","certainly not"
"worker 300","English","Agree",11745,"even","might"
"worker 301","English","Agree",30400,"even","certainly not"
"worker 302","English","Agree",23080,"even","possibly"
"worker 303","English","Disagree",22482,"even","certain not"
"worker 304","English","Agree",43072,"even","possible"
"worker 305","english","Disagree",28985,"even","might"
"worker 306","English","Disagree",44508,"even","did"
"worker 307","English","Agree",39573,"even","did not"
"worker 308","English","Agree",9393,"even","must not"
"worker 309","english","Agree",25761,"even","certainly not"
"worker 310","english","Disagree",29893,"even","did"
"worker 311","english","Disagree",25473,"even","must not"
"worker 312","English","Agree",27946,"even","did not"
"worker 313","english","Agree",11116,"even","certain not"
"worker 314","English","Agree",24830,"even","did not"
"worker 315","English","Agree",18754,"even","possible"
"worker 316","English","Agree",16419,"even","possible"
"worker 317","English","Agree",23725,"even","certainly not"
"worker 318","English","Agree",36359,"even","certainly not"
"worker 319","english ","Agree",11457,"even","certain not"
"worker 320","English","Agree",15401,"even","possibly"
"worker 321","English","Disagree",31600,"even","did not"
"worker 322","Spanish","Disagree",31190,"even","possibly"
"worker 323","english","Agree",23752,"even","possible"
"worker 324","English","Disagree",11420,"even","certain not"
"worker 325","English","Agree",4300,"even","certainly not"
"worker 326","English","Agree",22192,"even","did not"
"worker 327","English","Disagree",36157,"even","certainly not"
"worker 328","tagalog","Disagree",44731,"even","certainly not"
"worker 329","US English","Agree",57377,"even","might"
"worker 330","English","Agree",19168,"even","must not"
"worker 331","english","Agree",19334,"even","certainly not"
"worker 332","Cantonese","Disagree",26795,"even","did"
"worker 333","English","Disagree",26848,"even","did not"
"worker 334","english","Disagree",16652,"even","certain not"
"worker 335","English","Agree",18601,"even","must not"
"worker 336","English","Agree",21034,"even","might"
"worker 337","English","Disagree",22170,"even","did"
"worker 338","English","Agree",19283,"even","possibly"
"worker 339","English","Agree",41183,"even","did not"
"worker 340","English","Agree",13498,"even","did not"
"worker 341","English","Agree",33703,"even","possible"
"worker 342","English","Disagree",35925,"even","did"
"worker 343","urdu","Agree",29422,"even","possibly"
"worker 344","English","Agree",13482,"even","might"
"worker 345","english","Agree",11770,"even","possible"
"worker 346","English","Disagree",18336,"even","possibly"
"worker 347","English","Disagree",20983,"even","did not"
"worker 348","english","Agree",13728,"even","certainly not"
"worker 349","ENGLISH","Disagree",13336,"even","certain not"
"worker 350","English","Agree",24255,"even","did not"
"worker 351","English","Disagree",34302,"even","must not"
"worker 352","english","Disagree",23078,"even","might"
"worker 353","English","Disagree",44474,"even","certain not"
"worker 354","English","Agree",21384,"even","might"
"worker 355","English","Agree",19367,"even","possible"
"worker 356","Tagalog","Agree",28502,"even","certain not"
"worker 357","English","Disagree",28065,"even","possibly"
"worker 358","English","Disagree",20317,"even","did not"
"worker 359","English","Agree",46474,"even","might"
"worker 360","English","Agree",20191,"even","certainly not"
"worker 361","English","Agree",21968,"even","possibly"
"worker 362","English","Agree",26641,"even","possible"
"worker 363","ENGLISH","Disagree",14604,"even","certain not"
"worker 364","English","Disagree",29190,"even","did"
"worker 365","English","Agree",17135,"even","possible"
"worker 366","English","Agree",60177,"even","might"
"worker 367","english","Disagree",31863,"even","certain not"
"worker 368","Mandarin","Agree",26674,"even","did not"
"worker 369","English","Disagree",23237,"even","certainly not"
"worker 370","spanish","Disagree",3995,"even","possible"
"worker 371","english","Disagree",12583,"even","did"
"worker 372","English","Agree",20168,"even","might"
"worker 373","English","Agree",20536,"even","did not"
"worker 374","English","Agree",35561,"even","did not"
"worker 375","english","Disagree",51104,"even","did not"
"worker 376","english","Agree",17563,"even","must not"
"worker 377","english","Disagree",19380,"even","did not"
"worker 378","English","Disagree",27210,"even","did not"
"worker 379","English","Disagree",52825,"even","did not"
"worker 380","English","Agree",16433,"even","might"
"worker 381","English","Agree",16046,"even","possibly"
"worker 382","english","Disagree",25990,"even","certain not"
"worker 383","English","Disagree",10639,"even","did"
"worker 384","English","Disagree",20147,"even","did"
"worker 385","English","Disagree",33857,"even","did"
"worker 386","English","Disagree",30608,"even","might"
"worker 387","English","Disagree",31058,"even","must not"
"worker 388","English","Agree",13683,"even","might"
"worker 389","English","Disagree",13733,"even","certain not"
"worker 390","English","Disagree",17053,"even","must not"
"worker 391","English","Agree",14304,"even","possible"
"worker 392","english","Disagree",21026,"even","certainly not"
"worker 393","English","Agree",16738,"even","might"
"worker 394","english","Agree",26167,"even","did"
"worker 395","English","Disagree",13581,"even","possibly"
"worker 396","English","Disagree",16697,"even","did"
"worker 397","English","Disagree",25185,"even","did not"
"worker 398","english","Agree",17753,"even","possible"
"worker 399","English","Agree",20105,"even","might"
"worker 400","English","Disagree",21769,"even","certainly not"
"worker 401","English","Disagree",11319,"even","did"
"worker 402","English","Agree",19513,"even","certain not"
"worker 403","English","Agree",13776,"even","possible"
"worker 404","english","Agree",63950,"even","might"
"worker 405","English","Disagree",60275,"even","certainly not"
"worker 406","English","Agree",19581,"even","did not"
"worker 407","english","Agree",31277,"even","certain not"
"worker 408","English","Disagree",15903,"even","might"
"worker 409","english","Agree",12931,"even","must not"
"worker 410","English","Disagree",24018,"even","certainly not"
"worker 411","english","Disagree",13822,"even","certainly not"
"worker 412","English","Disagree",13968,"even","certain not"
"worker 413","english","Disagree",19985,"even","possibly"
"worker 414","English ","Disagree",36093,"even","certain not"
"worker 415","English","Disagree",50342,"even","certain not"
"worker 416","English","Agree",15226,"even","possibly"
"worker 417","english","Agree",14459,"even","possibly"
"worker 418","English","Agree",31921,"even","possibly"
"worker 419","English","Agree",15072,"even","possible"
"worker 420","English","Disagree",18703,"even","possible"
"worker 421","English","Agree",28278,"even","did"
"worker 422","English","Agree",28897,"even","possible"
"worker 423","English","Disagree",34835,"even","must not"
"worker 424","English","Agree",30824,"even","did not"
"worker 425","English","Agree",2384,"even","possibly"
"worker 426","English","Disagree",9833,"even","did"
"worker 427","English","Disagree",27783,"even","certain not"
"worker 428","english","Agree",15872,"even","must not"
"worker 429","english","Agree",23958,"even","possibly"
"worker 430","English","Agree",19146,"even","possible"
"worker 431","Spanish","Agree",28475,"even","certainly not"
"worker 432","English","Disagree",29199,"even","possibly"
"worker 433","English","Agree",35960,"even","possible"
"worker 434","English","Agree",15356,"even","possibly"
"worker 435","English","Agree",21799,"even","possible"
"worker 436","English","Agree",20114,"even","possible"
"worker 437","English","Agree",21334,"even","did not"
"worker 438","english","Agree",12938,"even","certain not"
"worker 439","English","Disagree",53362,"even","might"
"worker 440","English","Disagree",18189,"even","did"
"worker 441","english","Agree",37405,"even","possibly"
"worker 442","English","Agree",6801,"even","must not"
"worker 443","Indonesian","Agree",41404,"even","possible"
"worker 444","English","Agree",20067,"even","certainly not"
"worker 445","English and Spanish","Disagree",40527,"even","certain not"
"worker 446","English","Disagree",31052,"even","certain not"
"worker 447","English","Agree",12688,"even","might"
"worker 448","English","Disagree",36895,"even","certain not"
"worker 449","English","Agree",17478,"even","possible"
"worker 450","chinese","Disagree",13996,"even","did"
"worker 451","english","Disagree",33190,"even","certainly not"
"worker 452","English ","Disagree",40145,"even","certain not"
"worker 453","English","Disagree",46392,"even","did"
"worker 454","English","Agree",34800,"even","possibly"
"worker 455","English","Agree",50011,"even","possibly"
"worker 456","english","Disagree",36522,"even","must not"
"worker 457","English","Disagree",16351,"even","certainly not"
"worker 458","English & Chinese","Disagree",14053,"even","did"
"worker 459","English","Agree",18136,"even","might"
"worker 460","english","Agree",19534,"even","did"
"worker 461","English","Disagree",35498,"even","did"
"worker 462","English","Agree",18857,"even","might"
"worker 463","english","Disagree",24860,"even","must not"
"worker 464","English","Agree",16932,"even","must not"
"worker 465","English","Agree",27819,"even","did not"
"worker 466","english","Agree",30042,"even","possible"
"worker 467","English","Disagree",20232,"even","did"
"worker 468","English","Agree",17602,"even","possibly"
"worker 469","English","Disagree",17877,"even","did"
"worker 470","english","Disagree",4837,"even","certain not"
"worker 471","English","Agree",20966,"even","possible"
"worker 472","English","Disagree",11168,"even","certain not"
"worker 473","English","Agree",9978,"even","must not"
"worker 474","English","Agree",43129,"even","possibly"
"worker 475","english","Agree",1564,"even","certainly not"
"worker 476","English","Disagree",33618,"even","did"
"worker 477","english","Agree",26261,"even","certainly not"
"worker 478","English","Disagree",14977,"even","did"
"worker 479","english","Agree",85762,"even","possible"
"worker 480","English","Disagree",11234,"even","certain not"
"worker 481","English","Disagree",76256,"even","did"
"worker 482","Spanish","Disagree",27670,"even","certainly not"
"worker 483","English","Disagree",32682,"even","certainly not"
"worker 484","english","Agree",17169,"even","possible"
"worker 485","English","Agree",29542,"even","certainly not"
"worker 486","English","Agree",37569,"even","did not"
"worker 487","english","Agree",12116,"even","certain not"
"worker 488","English","Disagree",17848,"even","possibly"
"worker 489","English","Agree",16575,"even","did not"
"worker 490","English","Agree",38306,"even","might"
"worker 491","english","Agree",24781,"even","must not"
"worker 492","English","Disagree",73387,"even","must not"
"worker 493","English","Disagree",56160,"even","certainly not"
"worker 494","English","Agree",43274,"even","must not"
"worker 495","English","Disagree",35215,"even","possibly"
"worker 496","English","Agree",22466,"even","possible"
"worker 497","English","Disagree",1983,"even","must not"
"worker 498","English","Agree",8925,"even","might"
"worker 499","Arabic","Agree",36088,"even","did not"
"worker 500","english","Agree",13457,"even","did not"
"worker 501","English","Disagree",19933,"even","possible"
"worker 502","usa english","Agree",13442,"even","must not"
"worker 503","english","Agree",28752,"even","did not"
"worker 504","english","Disagree",17124,"even","did"
"worker 505","English","Disagree",33249,"even","certain not"
"worker 506","English","Disagree",34474,"even","certainly not"
"worker 507","english","Disagree",14186,"even","certain not"
"worker 508","English","Agree",14568,"even","possible"
"worker 509","English","Disagree",30155,"even","certain not"
"worker 510","English","Agree",21530,"even","must not"
"worker 511","English","Disagree",14136,"even","certain not"
"worker 512","English","Agree",10064,"even","did not"
"worker 513","English","Disagree",18625,"even","must not"
"worker 514","English","Disagree",25303,"even","did"
"worker 515","English","Disagree",18362,"even","knows"
"worker 516","English","Disagree",20531,"even","knows"
"worker 517","English","Disagree",27880,"even","knows"
"worker 518","English","Agree",15288,"even","knows"
"worker 519","english","Agree",27806,"even","knows"
"worker 520","english","Disagree",29534,"even","knows"
"worker 521","ENGLISH","Disagree",32778,"even","knows"
"worker 522","English","Disagree",17932,"even","knows"
"worker 523","English","Disagree",18484,"even","knows"
"worker 524","English","Disagree",19323,"even","knows"
"worker 525","English","Disagree",29514,"even","knows"
"worker 526","English","Disagree",19130,"even","knows"
"worker 527","english","Disagree",17670,"even","knows"
"worker 528","English","Disagree",27062,"even","knows"
"worker 529","english","Disagree",16231,"even","knows"
"worker 530","English","Disagree",35707,"even","knows"
"worker 531","English","Disagree",20060,"even","knows"
"worker 532","English","Disagree",16408,"even","knows"
"worker 533","English","Disagree",47403,"even","knows"
"worker 534","the winner wasn't announced yet.","Disagree",22545,"even","knows"
"worker 535","English","Disagree",13605,"even","knows"
"worker 536","english","Disagree",43007,"even","knows"
"worker 537","English","Disagree",121117,"even","knows"
"worker 538","English","Disagree",33486,"even","knows"
"worker 539","English","Disagree",27691,"even","knows"
"worker 540","ENGLISH","Disagree",66951,"even","knows"
"worker 541","english","Agree",18483,"even","knows"
"worker 542","English","Disagree",31752,"even","knows"
"worker 543","english","Agree",2949,"even","knows"
"worker 544","English","Disagree",83734,"even","knows"
"worker 545","English","Disagree",31019,"even","knows"
"worker 546","ENGLISH","Disagree",39744,"even","knows"
"worker 547","English","Disagree",28419,"even","knows"
"worker 548","English","Agree",24642,"even","knows"
"worker 549","English","Disagree",29682,"even","knows"
"worker 550","english","Disagree",38838,"even","knows"
"worker 551","English","Disagree",22828,"even","knows"
"worker 552","English","Disagree",37322,"even","knows"
"worker 553","English","Disagree",15643,"even","knows"
"worker 554","English","Disagree",29399,"even","knows"
"worker 555","English","Agree",9534,"even","knows"
"worker 556","english","Disagree",36467,"even","knows"
"worker 557","English","Agree",15758,"even","knows"
"worker 558","english","Agree",25201,"even","knows"
"worker 559","english","Disagree",43022,"even","knows"
"worker 560","Well if the drawing has not been done yet and 1000 tickets are in and he is one then we do not know which one of the 1000 tickets has won the prize.","Disagree",20832,"even","knows"
"worker 561","english","Agree",12084,"even","knows"
"worker 562","English","Disagree",27149,"even","knows"
"worker 563","English","Disagree",24867,"even","knows"
"worker 564","English","Disagree",22518,"even","knows"
"worker 565","English","Agree",21516,"even","knows"
"worker 566","English","Disagree",14371,"even","knows"
"worker 567","English","Disagree",22201,"even","knows"
"worker 568","english","Disagree",19585,"even","knows"
"worker 569","English","Agree",10442,"even","knows"
"worker 570","english","Agree",11089,"even","knows"
