"w1","w2","w3","w4","w5","string","cats"
"yesterday","john","quickly","barked","yesterday","yesterday john quickly barked yesterday","sadv pn adv itv sadv"
"quickly","john","quickly","barked","yesterday","quickly john quickly barked yesterday","adv pn adv itv sadv"
"water","john","quickly","barked","yesterday","water john quickly barked yesterday","mn pn adv itv sadv"
"water","chased","quickly","barked","yesterday","water chased quickly barked yesterday","mn tv adv itv sadv"
"john","chased","quickly","barked","yesterday","john chased quickly barked yesterday","pn tv adv itv sadv"
"water","barked","quickly","barked","yesterday","water barked quickly barked yesterday","mn itv adv itv sadv"
"john","barked","quickly","barked","yesterday","john barked quickly barked yesterday","pn itv adv itv sadv"
"yesterday","the","dog","barked","yesterday","yesterday the dog barked yesterday","sadv d cn itv sadv"
"quickly","the","dog","barked","yesterday","quickly the dog barked yesterday","adv d cn itv sadv"
"dog","the","dog","barked","yesterday","dog the dog barked yesterday","cn d cn itv sadv"
"water","the","dog","barked","yesterday","water the dog barked yesterday","mn d cn itv sadv"
"john","the","dog","barked","yesterday","john the dog barked yesterday","pn d cn itv sadv"
"the","water","dog","barked","yesterday","the water dog barked yesterday","d mn cn itv sadv"
"dog","the","water","barked","yesterday","dog the water barked yesterday","cn d mn itv sadv"
"yesterday","with","water","barked","yesterday","yesterday with water barked yesterday","sadv p mn itv sadv"
"quickly","with","water","barked","yesterday","quickly with water barked yesterday","adv p mn itv sadv"
"water","with","water","barked","yesterday","water with water barked yesterday","mn p mn itv sadv"
"john","with","water","barked","yesterday","john with water barked yesterday","pn p mn itv sadv"
"quickly","yesterday","water","barked","yesterday","quickly yesterday water barked yesterday","adv sadv mn itv sadv"
"water","yesterday","water","barked","yesterday","water yesterday water barked yesterday","mn sadv mn itv sadv"
"john","yesterday","water","barked","yesterday","john yesterday water barked yesterday","pn sadv mn itv sadv"
"yesterday","quickly","water","barked","yesterday","yesterday quickly water barked yesterday","sadv adv mn itv sadv"
"water","quickly","water","barked","yesterday","water quickly water barked yesterday","mn adv mn itv sadv"
"john","quickly","water","barked","yesterday","john quickly water barked yesterday","pn adv mn itv sadv"
"the","dog","water","barked","yesterday","the dog water barked yesterday","d cn mn itv sadv"
"with","john","water","barked","yesterday","with john water barked yesterday","p pn mn itv sadv"
"yesterday","john","water","barked","yesterday","yesterday john water barked yesterday","sadv pn mn itv sadv"
"quickly","john","water","barked","yesterday","quickly john water barked yesterday","adv pn mn itv sadv"
"water","john","water","barked","yesterday","water john water barked yesterday","mn pn mn itv sadv"
"yesterday","chased","water","barked","yesterday","yesterday chased water barked yesterday","sadv tv mn itv sadv"
"quickly","chased","water","barked","yesterday","quickly chased water barked yesterday","adv tv mn itv sadv"
"water","chased","water","barked","yesterday","water chased water barked yesterday","mn tv mn itv sadv"
"john","chased","water","barked","yesterday","john chased water barked yesterday","pn tv mn itv sadv"
"dog","the","john","barked","yesterday","dog the john barked yesterday","cn d pn itv sadv"
"yesterday","with","john","barked","yesterday","yesterday with john barked yesterday","sadv p pn itv sadv"
"quickly","with","john","barked","yesterday","quickly with john barked yesterday","adv p pn itv sadv"
"water","with","john","barked","yesterday","water with john barked yesterday","mn p pn itv sadv"
"john","with","john","barked","yesterday","john with john barked yesterday","pn p pn itv sadv"
"quickly","yesterday","john","barked","yesterday","quickly yesterday john barked yesterday","adv sadv pn itv sadv"
"water","yesterday","john","barked","yesterday","water yesterday john barked yesterday","mn sadv pn itv sadv"
"john","yesterday","john","barked","yesterday","john yesterday john barked yesterday","pn sadv pn itv sadv"
"yesterday","quickly","john","barked","yesterday","yesterday quickly john barked yesterday","sadv adv pn itv sadv"
"water","quickly","john","barked","yesterday","water quickly john barked yesterday","mn adv pn itv sadv"
"john","quickly","john","barked","yesterday","john quickly john barked yesterday","pn adv pn itv sadv"
"the","dog","john","barked","yesterday","the dog john barked yesterday","d cn pn itv sadv"
"with","water","john","barked","yesterday","with water john barked yesterday","p mn pn itv sadv"
"yesterday","water","john","barked","yesterday","yesterday water john barked yesterday","sadv mn pn itv sadv"
"quickly","water","john","barked","yesterday","quickly water john barked yesterday","adv mn pn itv sadv"
"john","water","john","barked","yesterday","john water john barked yesterday","pn mn pn itv sadv"
"yesterday","chased","john","barked","yesterday","yesterday chased john barked yesterday","sadv tv pn itv sadv"
"quickly","chased","john","barked","yesterday","quickly chased john barked yesterday","adv tv pn itv sadv"
"water","chased","john","barked","yesterday","water chased john barked yesterday","mn tv pn itv sadv"
"john","chased","john","barked","yesterday","john chased john barked yesterday","pn tv pn itv sadv"
"water","yesterday","chased","barked","yesterday","water yesterday chased barked yesterday","mn sadv tv itv sadv"
"john","yesterday","chased","barked","yesterday","john yesterday chased barked yesterday","pn sadv tv itv sadv"
"water","quickly","chased","barked","yesterday","water quickly chased barked yesterday","mn adv tv itv sadv"
"john","quickly","chased","barked","yesterday","john quickly chased barked yesterday","pn adv tv itv sadv"
"the","dog","chased","barked","yesterday","the dog chased barked yesterday","d cn tv itv sadv"
"with","water","chased","barked","yesterday","with water chased barked yesterday","p mn tv itv sadv"
"yesterday","water","chased","barked","yesterday","yesterday water chased barked yesterday","sadv mn tv itv sadv"
"quickly","water","chased","barked","yesterday","quickly water chased barked yesterday","adv mn tv itv sadv"
"john","water","chased","barked","yesterday","john water chased barked yesterday","pn mn tv itv sadv"
